clob_token_ids                                                                                                                                                           , cosine_similarity
"[""30562286811855700035900993712827264386249573536460884445334907437246451703247"",""96896245767690798911922412593822187944702560703078903355658494424664696834021""]"  , 1.0
"[""1041038790334709164776836936604244352070959549679439959110908925224906154504"",""38507540028678003044145512403125289150954569430468067846710242760318130520462""]"   , 1.0
"[""109904554056935272169730378752283666222957145423330594737040772648673696893983"",""107213129314994162369466519069442472096992908321148518360730893902512384640918""]", 1.0
"[""60265216351447494075409855233645057033695673889295492647790321229267332701037"",""40311997486726154938549761692445082498681864705261859926517976378652430030261""]"  , 1.0
"[""108257272430122135280419956220074999273962996588297256824541952787168506122134"",""43550076949870386994873464823518476157559954294116487024300986259687151722061""]" , 1.0
"[""54680412531366307006412039119846609057746833459452699789103723102102621060411"",""20080638766892461882700766779027158827365562310839279482127131217784193046585""]"  , 0.8646358702663698
"[""85942265466488014050178628789837529099253370994950475616619512156841463704755"",""105968432729863346987070765562525401181584491873900212191225154794647241934079""]" , 1.0
"[""76079112027472838335290455592014338879214017693395013229937591392536082897129"",""67250426158514333012582972824141143519790917762132808804558517307454655824869""]"  , 1.0
"[""58963045515858454830597065868666985841550317246656634977337721638862607956522"",""17245023840908778169352077164388609484657422706252953627686682290105133097019""]"  , 1.0
"[""90470164270590857569522294050663307496373202995948040533973687346149917874256"",""17652417417968440976038287222461127524841444813976732148508916278336486033375""]"  , 1.0
"[""89046730142038076958254899626423468342171955617736507661358119279947816273662"",""74511912240586332650419659354928446006861690375999886071677195658969367768427""]"  , 1.0
"[""56450849176853266568869430258311379585940604716770556650819621531600937036917"",""73279816000909805347544460412737653006256064903261436459219672735441779333192""]"  , 1.0
"[""91810646921497227084241579668235102205462718984593674693010693975258849328842"",""51080463689161030375818291005097816690283354390568417705958874093502264623871""]"  , 1.0
"[""35956462801381541703920959039254420625170916317975800264738163113000187196038"",""10993756221115584430610104733617156789325352858000864153034080802915612037160""]"  , 1.0
"[""52846522892817642137176621550017580300553171302397601230223299579641662534224"",""32838024736478842068909612011760720241864914106629567918327443886835905991442""]"  , 1.0
"[""2638212763635765664638931184596338750226895714451963915771516616454156509244"",""21457209260431310627328856482140664704770240130068271166938854970516737037761""]"   , 1.0
"[""3441768572370167846712432876647708877041091714780145175262111391091706182699"",""50322484780117793093723555035654672562358650717688148764266793415870116941971""]"   , 1.0
"[""21783044315591718158196095288579355302391473044464775695899458092129866575945"",""20143929859529938004621497319344767718608238326280318360280809944896748203902""]"  , 1.0
"[""2867209803492313176891970118649987905930881752970311413869425427415611673771"",""22106921341196818050439524942994162234430181387513131058873085228908007365669""]"   , 1.0
"[""12596478239482287584168085937435102425793465508444249802687526445619968600670"",""62828467655754446541474101688594857486930081113254181330351047284479341889086""]"  , 1.0
"[""75709384670632086042656540268151831395402476546377050307656146042808288601237"",""47377618441206791442503395253466362539123852616498595906889207678199384410953""]"  , 1.0
"[""3924554927953214763392038796839669101622489251494732432280353079312613763061"",""58662201809365785770232409088993926873807282366395643905148547788881949129539""]"   , 1.0
"[""68420402359099809757188966515856762918029694502033360833978058041565763991088"",""644333437702719106123269665895465552557411038498789482238859561672098512076""]"    , 1.0
"[""114437641958570534735982376736844126362165493704104291576224648286615737546344"",""12235111624414724107135088331460857997643307446329397944855481739037325689753""]" , 1.0
"[""66284977163262204624598450319968559820692964588074113638404834566884517814525"",""6657607173945755203413576765317939991899502379919879432789601293635182048454""]"   , 1.0
"[""18690049947242812495755151360212639738977254879109748949267393375856311641700"",""44217754360633979680316989769899520588351517398269898942558308875588541304698""]"  , 1.0
"[""83479140651306794046790588004449066364152228067472874205697111967337978544729"",""86189905157402748775272356734086074576046362545577080735663677743589826713172""]"  , 1.0
"[""63586620628756015058616403521099137018911742768824051367331188904593189743777"",""31766935524058663070405983804663917978960087327501512757848582448134393241922""]"  , 1.0
"[""9556122149160720922715284597610520228366807023831966638741974320131898296289"",""30695356184876659373803609107050405812738015124680927512315982415984867952338""]"   , 1.0
"[""10973109988563869217783207408400612310434031351158651459423394268917908589288"",""33427736067543005221568103198541406317701071672777832259007129668020027440932""]"  , 0.7982416247499081
